trial_id,learning_rate,gamma,batch_size,memory_size,target_update,eps_start,eps_end,eps_decay,initial_exploration,avg_score,final_scores,total_episodes,max_episodes,early_stopped,stop_reason,device_used,success,seed
67,0.00011745247966139052,0.9596502971494828,32,47650,500,0.9691777796424228,0.09770317276634416,0.9922485271624754,1456,10.0,"[10, 8, 10, 11, 9]",200,200,False,completed,cuda,True,88640
63,0.00029766419203968586,0.9456550428982545,32,94808,100,0.9769433665299182,0.08657759673483587,0.9942763252009892,762,9.7,"[9, 9, 11, 11, 10]",200,200,False,completed,cuda,True,90372
66,0.003747516969016629,0.9773036023887606,16,63985,500,0.9856929470030342,0.011023419962220046,0.993343774309125,837,10.0,"[11, 10, 9, 10, 10]",200,200,False,completed,cuda,True,77748
65,0.0001040453841393979,0.9965563422972745,64,43295,1000,0.9913323219656099,0.04444736200297131,0.9979054347358107,767,9.3,"[10, 9, 10, 9, 10]",200,200,False,completed,cuda,True,90620
73,0.0018239899688758266,0.9641524725126083,64,97663,1000,0.9136767752478132,0.08445689677630605,0.9965597053740621,1947,10.5,"[10, 10, 11, 11, 9]",200,200,False,completed,cuda,True,83112
72,0.0006103313158926925,0.9688112512626278,128,42580,500,0.9114055992575287,0.025064646885685337,0.9969464597498717,1712,9.6,"[9, 9, 9, 11, 10]",200,200,False,completed,cuda,True,97624
68,0.0006579391602233362,0.9801800575085382,32,86531,500,0.9613941321860605,0.08461653828575075,0.9931405429551917,1105,9.6,"[9, 8, 10, 9, 11]",200,200,False,completed,cuda,True,93808
75,0.00029366297013677406,0.9506522501439818,16,16579,100,0.9350013792360002,0.06199722498357418,0.9970633959616007,1915,9.9,"[9, 9, 10, 11, 9]",200,200,False,completed,cuda,True,102372
57,0.00013813881182873761,0.9613952185126101,128,20904,500,0.9017470615633163,0.060866740380740164,0.9974075960391233,1037,10.8,"[10, 12, 9, 12, 11]",200,200,False,completed,cuda,True,81288
78,0.0001771741064747836,0.9583946919380584,16,86084,1000,0.9760751874969862,0.05606789652619311,0.9952889314761417,1867,9.6,"[9, 10, 10, 10, 9]",200,200,False,completed,cuda,True,88112
74,0.0024086220926107945,0.9282031905901912,128,82127,100,0.9171565327578007,0.036670666393639736,0.996505593136368,1560,11.2,"[17, 10, 9, 10, 9]",200,200,False,completed,cuda,True,95640
69,0.00635003202673304,0.994967927454524,32,78338,500,0.9720591531398821,0.05819001592537859,0.992808979571078,808,20.8,"[16, 11, 22, 25, 31]",200,200,False,completed,cuda,True,94492
70,0.0007319899082143939,0.9243692055029209,128,46912,1000,0.9490278146838651,0.06669932343213097,0.9965475028586724,746,10.0,"[9, 10, 14, 10, 10]",200,200,False,completed,cuda,True,97460
79,0.0016054381004348987,0.926304270388936,32,86322,500,0.9808088516386355,0.0833034073188493,0.9974457110694517,1369,9.9,"[9, 11, 9, 9, 10]",200,200,False,completed,cuda,True,104624
80,0.0001580757873313674,0.9573291376886882,16,83192,1000,0.9151787611182337,0.021153994973066442,0.9974300133620568,1050,9.5,"[9, 10, 9, 9, 10]",200,200,False,completed,cuda,True,105808
84,0.008978033705470205,0.9794287724786901,64,25435,1000,0.9422996122313247,0.07778248295462444,0.9968557625531597,1639,11.6,"[9, 9, 13, 9, 12]",200,200,False,completed,cuda,True,105640
77,0.0016558912546709064,0.9557473829855638,64,15891,1000,0.9166874145943402,0.07793912304008391,0.990170195584347,1157,16.0,"[25, 9, 32, 10, 11]",200,200,False,completed,cuda,True,102620
81,0.001974901553771822,0.9647764025220272,32,73265,100,0.9024114216960759,0.07807631095001595,0.9988868466649263,1814,40.4,"[71, 48, 29, 17, 72]",200,200,False,completed,cuda,True,108372
88,0.0014869558354516045,0.903733446865731,16,90145,100,0.9695355646517805,0.02228610439418978,0.9923111240653036,1954,9.6,"[8, 10, 11, 9, 10]",200,200,False,completed,cuda,True,113808
76,0.00020046578028860878,0.9584882928891447,64,48395,500,0.9345572733638733,0.09196992005309472,0.9916832039152678,1967,9.8,"[8, 10, 10, 12, 9]",200,200,False,completed,cuda,True,87748
89,0.007758460126379274,0.9341440675736287,32,44675,500,0.9612361303619738,0.03867516035067379,0.9960459073609251,1755,10.5,"[10, 10, 9, 17, 11]",200,200,False,completed,cuda,True,110640
82,0.00012041487293018536,0.9198524538241004,16,33398,100,0.9073966809135329,0.07312054291480544,0.9954138434281177,945,9.9,"[12, 9, 8, 11, 9]",200,200,False,completed,cuda,True,106288
94,0.000773169111828453,0.9621010164105056,64,73790,500,0.9943886560181663,0.04816306332697356,0.9932599482299851,1954,9.6,"[10, 8, 10, 9, 10]",200,200,False,completed,cuda,True,115640
83,0.0015040995843197422,0.9473301759954011,32,91039,1000,0.9757913960826009,0.06500718271253689,0.9918111105356557,557,18.5,"[16, 21, 14, 8, 10]",200,200,False,completed,cuda,True,93112
93,0.0016971261695695515,0.9386367761997481,64,62907,500,0.9259253735589826,0.02032298712363656,0.9966923548120287,1697,9.9,"[9, 9, 10, 10, 9]",200,200,False,completed,cuda,True,104748
87,0.0078192688288395,0.9492864129483931,16,97342,1000,0.9733386216244729,0.09657252015214939,0.9957937936332708,1461,9.7,"[10, 9, 8, 10, 9]",200,200,False,completed,cuda,True,112624
86,0.004433809054392886,0.957097747749527,64,23450,1000,0.9613639385979253,0.05326061806828899,0.9960645786206803,1675,10.6,"[11, 9, 12, 9, 9]",200,200,False,completed,cuda,True,113460
90,0.00016594138784709885,0.9034588341527752,128,75002,100,0.9328907545579779,0.0945640943576839,0.9926518875601248,1522,9.3,"[11, 8, 11, 8, 11]",200,200,False,completed,cuda,True,115620
91,0.00014096462061540394,0.9165566713238306,32,63093,500,0.9340799111180447,0.06936554190868696,0.9931284496392687,890,9.5,"[9, 10, 9, 9, 11]",200,200,False,completed,cuda,True,118372
97,0.008110442659794343,0.9934989332787715,16,57563,1000,0.9452056755046107,0.0752239738141222,0.9950606915790698,1667,11.0,"[11, 9, 16, 13, 9]",200,200,False,completed,cuda,True,107112
98,0.00023818573098965043,0.9903512095881395,16,86064,100,0.9515842107151584,0.034591733667564385,0.9907323796048958,1410,9.4,"[8, 9, 8, 10, 9]",200,200,False,completed,cuda,True,109748
96,0.00024259397454293367,0.9027875910716471,64,10537,1000,0.972171982275316,0.07169162928494544,0.9974593792635446,1233,10.9,"[12, 10, 11, 9, 8]",200,200,False,completed,cuda,True,117640
99,0.00046470034610244024,0.9661210738629948,64,95143,500,0.9005950795215962,0.054861298345667275,0.9919222502265103,1379,10.4,"[8, 9, 10, 11, 11]",200,200,False,completed,cuda,True,124624
103,0.0050463699136626275,0.9231802987806079,16,22307,1000,0.969046932616753,0.09198872999275627,0.9919538088884674,1559,10.5,"[10, 10, 13, 10, 9]",200,200,False,completed,cuda,True,113112
100,0.001617124914665338,0.9343742978901619,32,96574,100,0.9048502387604855,0.050413183709549274,0.9924672258677196,1487,16.3,"[11, 9, 25, 13, 10]",200,200,False,completed,cuda,True,127460
101,0.006433125799637729,0.9328408315436395,32,74013,500,0.9749232905327849,0.046388071848308184,0.99579169163412,1207,11.0,"[10, 11, 12, 9, 10]",200,200,False,completed,cuda,True,126620
108,0.0022947677814108194,0.9274728141256467,64,56184,100,0.9778620380229521,0.08340669892577139,0.9949816959701677,1990,10.2,"[10, 10, 11, 12, 12]",200,200,False,completed,cuda,True,135460
106,0.00011613152655281168,0.9790178693953621,128,11536,500,0.9547823397931258,0.09540164520664389,0.9917216503734181,1330,9.8,"[10, 9, 10, 10, 10]",200,200,False,completed,cuda,True,131624
104,0.0012379048020483279,0.907275488398286,16,36255,1000,0.9828914893004579,0.03405754386934539,0.9949729076384266,1080,10.3,"[8, 10, 9, 10, 10]",200,200,False,completed,cuda,True,115748
95,0.006609195027079395,0.9897066498923683,32,87130,500,0.9178708582830761,0.037133720670298714,0.9904844612127371,628,39.2,"[63, 10, 26, 34, 11]",200,200,False,completed,cuda,True,119288
105,0.0003553811238448028,0.9174928575954121,64,59433,500,0.9929460182551229,0.08930067966464217,0.9949352865681136,892,10.0,"[9, 12, 10, 9, 10]",200,200,False,completed,cuda,True,126640
109,0.0007868090943250471,0.9786150956323638,128,76191,100,0.9070995336623632,0.023968730119430147,0.9942426409700569,1199,10.5,"[10, 10, 10, 9, 9]",200,200,False,completed,cuda,True,134620
4,0.0015243625001587254,0.9529588366938548,32,55127,1000,0.9420654390831545,0.09334716168430912,0.9981197283941667,1759,225.8,"[238, 272, 255, 181, 177]",200,200,False,completed,cuda,True,27524
5,0.007357721000142075,0.9618830110774877,64,28111,500,0.9791457214130518,0.04496966039720975,0.9960955814940807,1653,458.0,"[500, 500, 500, 500, 500]",200,200,False,completed,cuda,True,9432
111,0.00013782536254203215,0.9075093284186979,16,96380,500,0.9365537276863097,0.0384094375013581,0.9944229477794602,1060,9.7,"[10, 10, 8, 10, 11]",200,200,False,completed,cuda,True,136624
114,0.009407864836896323,0.9176461689713141,128,22127,100,0.9830915374168442,0.027855207366403775,0.9977082008651128,1816,15.3,"[26, 15, 24, 25, 9]",200,200,False,completed,cuda,True,135640
113,0.001255708829863903,0.9853892794173007,64,60308,500,0.9285280460850842,0.09039158654388504,0.9933086382915449,1466,9.5,"[9, 11, 9, 9, 9]",200,200,False,completed,cuda,True,137288
102,0.0005237870801144407,0.9548511422032259,128,72344,1000,0.9421506835117772,0.012868130690421468,0.9985289164982648,1190,25.3,"[35, 28, 25, 28, 29]",200,200,False,completed,cuda,True,129372
7,0.007540367514708182,0.9242088827881063,16,15805,500,0.9813607958375119,0.08378152805282316,0.9985718833082965,697,227.9,"[214, 211, 227, 219, 321]",200,200,False,completed,cuda,True,9044
110,0.0013583015798808529,0.9029764520967771,32,71386,1000,0.9482862998003818,0.029661554184054535,0.9940022583924993,570,14.0,"[9, 9, 27, 10, 9]",200,200,False,completed,cuda,True,137460
112,0.0012331176516540577,0.9220902610269083,128,57257,100,0.983641073162337,0.0625815872154958,0.998826119243167,1683,73.0,"[39, 48, 69, 80, 44]",200,200,False,completed,cuda,True,123748
121,0.00665260788416914,0.9396926501054018,64,84875,500,0.9186002722348265,0.08331544885590848,0.9985654247229994,1919,10.4,"[9, 11, 10, 12, 11]",200,200,False,completed,cuda,True,148372
118,0.00014832840002019257,0.9429325301968351,32,88165,100,0.9669523206116046,0.04259136310137165,0.9953655816632074,1498,9.6,"[10, 10, 9, 12, 8]",200,200,False,completed,cuda,True,143624
117,0.0007194496883797119,0.9106818909361816,16,31227,100,0.9436868067892838,0.01115305337432479,0.9971281050484034,1696,10.4,"[12, 12, 11, 9, 9]",200,200,False,completed,cuda,True,121432
120,0.0008247808500902442,0.956372119875244,64,31479,100,0.9220576166662224,0.05627259047880425,0.9945339007706699,1562,9.6,"[9, 10, 9, 10, 10]",200,200,False,completed,cuda,True,144288
115,0.0001728477487061929,0.9345844747023832,128,26610,100,0.9983078928442561,0.024398283909556416,0.9909134003437992,523,9.4,"[9, 10, 10, 8, 10]",200,200,False,completed,cuda,True,140620
116,0.0005820160666403783,0.9194972875324722,128,19673,500,0.9716523101358481,0.036396782718012194,0.9963354018019218,756,9.4,"[9, 8, 9, 10, 10]",200,200,False,completed,cuda,True,139524
122,0.0072338441332907635,0.9119774650121972,16,78163,100,0.9145323982466789,0.08577063560172633,0.9901851527352535,1731,15.2,"[12, 12, 9, 27, 25]",200,200,False,completed,cuda,True,124044
125,0.0054863802547665255,0.9019256904905554,16,78901,500,0.9188184065140604,0.03122868432468457,0.9964765375022484,1888,10.5,"[10, 14, 10, 8, 9]",200,200,False,completed,cuda,True,152372
124,0.0007354143405374324,0.9554944722748175,128,56960,100,0.9286732820658694,0.08595512515003527,0.9920837780864987,1447,10.0,"[10, 9, 11, 9, 10]",200,200,False,completed,cuda,True,135748
119,0.0004408538957309725,0.9822155554741943,32,39012,100,0.9480530814460065,0.017630368684101186,0.9988767827782654,1003,14.2,"[16, 11, 15, 18, 19]",200,200,False,completed,cuda,True,140640
129,0.0003191127401465128,0.9218574679444891,128,16696,100,0.9051901056871133,0.04150034430813214,0.9955373941662702,1722,9.4,"[9, 10, 8, 10, 9]",200,200,False,completed,cuda,True,154620
127,0.001003535014692547,0.9226940551346899,32,29546,100,0.9949215351432991,0.02290274359230991,0.9977605063397836,1522,11.8,"[11, 9, 10, 9, 16]",200,200,False,completed,cuda,True,131432
131,0.003159735322914541,0.9537372386055497,128,74406,100,0.9305937609954694,0.08163003086019027,0.9942218327277215,1586,12.5,"[12, 10, 26, 9, 10]",200,200,False,completed,cuda,True,133044
128,0.00031350085824987143,0.956721367465514,128,76727,1000,0.9729748266624345,0.010417734020222108,0.997970464466659,1276,9.9,"[10, 10, 11, 10, 10]",200,200,False,completed,cuda,True,152288
134,0.000207218235133174,0.9507926300895688,32,48041,1000,0.9467682842223262,0.06558513684961331,0.9956327025069245,1897,9.7,"[9, 12, 9, 10, 11]",200,200,False,completed,cuda,True,155640
135,0.0008596922111070948,0.9415533319103512,16,88312,1000,0.9744040546013749,0.04828294248305432,0.9934959123917146,1797,9.5,"[9, 9, 9, 10, 8]",200,200,False,completed,cuda,True,160620
130,0.004547006058310641,0.900294106813267,128,43062,1000,0.9822270114705833,0.08649479479708548,0.99008256836549,930,9.8,"[10, 10, 9, 10, 10]",200,200,False,completed,cuda,True,153524
132,0.00013452896947631146,0.9908210199334442,128,35379,500,0.9182999462559794,0.09517626332963408,0.9962773818283482,1184,9.7,"[11, 8, 11, 8, 9]",200,200,False,completed,cuda,True,159372
123,0.002182873167565763,0.9271636147756818,128,64246,500,0.9827577249127002,0.0635701935216934,0.9927266179273587,1366,22.4,"[15, 23, 19, 23, 22]",200,200,False,completed,cuda,True,150460
49,0.007248843941533834,0.95663029117778,16,79786,100,0.9283555328788019,0.09478099800457639,0.9951201132688603,975,247.8,"[162, 150, 155, 283, 401]",200,200,False,completed,cuda,True,51996
137,0.0026529481112891554,0.9984470438117149,16,91031,500,0.9032268662201585,0.09227628656776245,0.9924467299990657,1336,10.8,"[11, 11, 15, 10, 11]",200,200,False,completed,cuda,True,139044
139,0.00015612101640137514,0.9049999045086355,16,15042,100,0.9804743294917201,0.03950770341679448,0.997616730427967,1538,9.4,"[8, 9, 10, 10, 10]",200,200,False,completed,cuda,True,160640
138,0.00416940778719615,0.9374458324301654,16,43786,1000,0.9797789246112638,0.07302281947825036,0.9976521250548509,1450,10.8,"[9, 9, 9, 9, 9]",200,200,False,completed,cuda,True,162288
133,0.002165410080814448,0.9536360999262851,128,81437,100,0.906344427912129,0.07828610286808384,0.9978370754671531,1501,39.1,"[33, 61, 36, 30, 31]",200,200,False,completed,cuda,True,144748
20,0.003045268509370567,0.9678184018921945,32,92073,100,0.9546225527332943,0.04152121195628298,0.9923828729266531,978,167.8,"[161, 154, 166, 166, 153]",200,200,False,completed,cuda,True,42520
126,0.0014111820055342388,0.9209021376143323,64,76921,1000,0.900935139597783,0.0780740194569979,0.9956343984323273,877,9.0,"[10, 9, 8, 9, 9]",200,200,False,completed,cuda,True,151624
140,0.0019807585395618193,0.980196238182134,32,51577,100,0.9036306420691946,0.060211027837694844,0.9929341865958287,1088,13.9,"[9, 13, 9, 10, 9]",200,200,False,completed,cuda,True,165620
150,0.00029289665055532734,0.9635943812378077,128,44800,1000,0.9047502858122587,0.021826376977261516,0.9968420541409614,1900,9.4,"[9, 10, 9, 10, 9]",200,200,False,completed,cuda,True,175624
147,0.0025775750083240536,0.9634274814682925,64,67038,1000,0.9822234766870753,0.0769571387875027,0.9970914504271332,1080,10.0,"[9, 11, 11, 9, 11]",200,200,False,completed,cuda,True,171288
148,0.00012540205067393287,0.9888514428636284,32,56526,1000,0.9844165808812602,0.030773357954452088,0.9915215484575193,724,9.2,"[9, 9, 8, 9, 10]",200,200,False,completed,cuda,True,159748
136,0.0014404968690123088,0.9588804775076175,16,40170,1000,0.9834179239702767,0.07996938160889476,0.9916888988715749,683,10.9,"[9, 10, 9, 10, 23]",200,200,False,completed,cuda,True,140432
145,0.0002757978386220309,0.9859048682650104,128,10126,500,0.9207842913991632,0.052430546416800276,0.993132453546499,535,9.6,"[10, 9, 10, 9, 10]",200,200,False,completed,cuda,True,147044
149,0.00031811968652777913,0.9522447130900833,32,32811,100,0.9943824469861919,0.048275291561302905,0.9967360951047791,1011,10.0,"[8, 13, 10, 9, 11]",200,200,False,completed,cuda,True,171520
144,0.0006796240383630518,0.9433883757866963,16,46597,1000,0.9628666120034243,0.09164447948188245,0.9989729941986388,733,9.2,"[9, 9, 10, 9, 9]",200,200,False,completed,cuda,True,146996
92,0.006034648809778906,0.9868478597295113,32,82987,500,0.9519243831503388,0.03739547922970061,0.9953654674034177,1111,181.1,"[175, 166, 236, 208, 185]",200,200,False,completed,cuda,True,117808
142,0.00037260476143721326,0.9121861305919738,16,18644,1000,0.9386776735913849,0.04863675610717765,0.993962783812163,1473,9.5,"[8, 10, 9, 10, 9]",200,200,False,completed,cuda,True,169372
